,Unnamed: 0,word,pictogram_id,synset,word_senses,
524,524,lettuce,2446,11986306-n,lettuce%1:20:00::,
525,525,lettuce,2446,07723559-n,lettuce%1:13:00::,
528,528,reading,2447,05808794-n,reading%1:09:00::,
536,536,whole milk,2445,07845335-n,cows'_milk%1:13:00::,
540,540,whole milk,2445,07845166-n,pasteurized_milk%1:13:00::,
544,544,whole milk,2445,07846802-n,whole_milk%1:13:00::,
565,565,lentils,2448,07725255-n,lentil%1:13:00::,
566,566,tablecloth,2460,04380143-n,tablecloth%1:06:00::,
567,567,blanket,2459,02849154-n,blanket%1:06:00::,
578,578,mom,2458,10278128-n,mom%1:18:00::,
579,579,mommy,2458,10278128-n,mommy%1:18:00::,
585,585,butter,2461,07848338-n,butter%1:13:00::,
594,594,strawberry jam,2470,07642933-n,jam%1:13:00::,
596,596,strawberry jam,2470,07643200-n,strawberry_jam%1:13:00::,
597,597,melon,2469,12163824-n,melon%1:20:00::,
604,604,microwave,2473,03761084-n,microwave%1:06:00::,
606,606,table-tennis table,2471,04381587-n,table-tennis_table%1:06:00::,
644,644,mosquito,2479,02200198-n,mosquito%1:05:00::,
645,645,monkey,2477,02484322-n,monkey%1:05:00::,
650,650,bear,2488,02131653-n,bear%1:05:00::,
652,652,lamb,2489,02411705-n,sheep%1:05:00::,
670,670,drying-up cloth,2496,03207835-n,dishtowel%1:06:00::,
677,677,litterbin,2498,03678558-n,litterbin%1:06:00::,
678,678,umbrella,2500,04507155-n,umbrella%1:06:00::,
688,688,skateboard,2507,04225987-n,skateboard%1:06:00::,
702,702,baguette,2494,07687469-n,french_bread%1:13:00::,
706,706,baguette,2494,07687381-n,baguet%1:13:00::,
710,710,pachisi,2501,00505446-n,pachisi%1:04:00::,
711,711,potato,2503,07710616-n,potato%1:13:00::,
712,712,potato,2503,12897493-n,potato%1:20:00::,
721,721,tennis ball,2514,04409515-n,tennis_ball%1:06:00::,
724,724,turkey,2509,01794158-n,turkey%1:05:00::,
733,733,blackboard,2526,02846511-n,blackboard%1:06:00::,
734,734,chalkboard,2526,02846511-n,chalkboard%1:06:00::,
737,737,pizza,2527,07873807-n,pizza%1:13:00::,
738,738,iron,2528,03584829-n,iron%1:06:00::,
739,739,plasticine,2529,14592405-n,plasticine%1:27:00::,
742,742,blind,2518,04589190-n,window_blind%1:06:00::,
744,744,blind,2518,02851099-n,screen%1:06:04::,
746,746,plate,2532,03959485-n,plate%1:06:00::,
756,756,awl,2538,02888898-n,bradawl%1:06:00::,
759,759,awl,2538,02763714-n,awl%1:06:00::,
769,769,tennis racket,2544,04409806-n,tennis_racket%1:06:00::,
776,776,wristwatch,2549,04607869-n,wristwatch%1:06:00::,
780,780,grand piano,2521,03928116-n,piano%1:06:00::,
782,782,grand piano,2521,03452741-n,grand_piano%1:06:00::,
784,784,grand piano,2521,03086457-n,concert_grand%1:06:00::,
786,786,scissor,2547,01248950-v,scissor%2:35:00::,
788,788,scissor,2547,01554799-v,cut_out%2:35:02::,
789,789,rhinoceros,2550,02391994-n,rhinoceros%1:05:00::,
790,790,rhinoceros,2550,02393161-n,black_rhinoceros%1:05:00::,
793,793,net,2548,03820154-n,net%1:06:03::,
795,795,sharpener,2553,03908714-n,pencil_sharpener%1:06:00::,
798,798,watermelon,2557,07756951-n,watermelon%1:13:00::,
800,800,watermelon,2557,12164065-n,watermelon%1:20:00::,
802,802,saxophone,2559,04141076-n,saxophone%1:06:00::,
807,807,tambourine,2564,04387400-n,tambourine%1:06:00::,
808,808,saltcellar,2554,04131499-n,saltcellar%1:06:00::,
811,811,budgie,2562,01821203-n,parakeet%1:05:00::,
813,813,frypan,2558,03400231-n,skillet%1:06:00::,
828,828,bottle screw,2552,03109150-n,corkscrew%1:06:00::,
829,829,floor,2575,03365592-n,floor%1:06:00::,
837,837,felt hat,2572,03325941-n,fedora%1:06:00::,
840,840,felt hat,2572,04248507-n,snap-brim_hat%1:06:00::,
842,842,ironing board,2577,03586090-n,ironing_board%1:06:00::,
844,844,taxi,2580,02930766-n,taxi%1:06:00::,
845,845,taxicab,2580,02930766-n,taxicab%1:06:00::,
850,850,coffee cup,2581,03063073-n,coffee_cup%1:06:00::,
851,851,roof,2584,04105068-n,roof%1:06:00::,
852,852,dial phone,2585,03187595-n,dial_telephone%1:06:00::,
857,857,ceiling,2583,02990373-n,ceiling%1:06:00::,
862,862,tiger,2590,02129604-n,tiger%1:05:00::,
863,863,electric bell,2592,03270695-n,electric_bell%1:06:00::,
868,868,tv,2587,04405907-n,tv%1:06:00::,
870,870,tv,2587,03072201-n,color_tv%1:06:00::,
872,872,tv,2587,04405762-n,television_monitor%1:06:00::,
874,874,bull,2595,01887623-n,bull%1:05:02::,
875,875,bull,2595,02403325-n,bull%1:05:01::,
877,877,tractor,2600,04465501-n,tractor%1:06:00::,
883,883,bathing costume,2601,04371563-n,swimsuit%1:06:00::,
884,884,triangle,2604,04480853-n,triangle%1:06:00::,
886,886,shark,2589,01482330-n,shark%1:05:00::,
890,890,cow,2609,02403454-n,cow%1:05:01::,
891,891,cow,2609,01887787-n,cow%1:05:02::,
892,892,cow,2609,02406174-n,dairy_cattle%1:05:00::,
906,906,red wine,2614,07892512-n,red_wine%1:13:00::,
907,907,violin,2615,04536866-n,violin%1:06:00::,
913,913,carrot,2619,12937678-n,carrot%1:20:02::,
914,914,carrot,2619,12937388-n,carrot%1:20:00::,
917,917,blower,2612,04526964-n,ventilator%1:06:00::,
923,923,blower,2612,03271574-n,electric_fan%1:06:00::,
927,927,orange juice,2624,07924834-n,orange_juice%1:13:00::,
928,928,pineapple juice,2625,07925116-n,pineapple_juice%1:13:00::,
959,959,fox,2623,02118333-n,fox%1:05:00::,
1020,1020,sewing needle,2639,04180063-n,sewing_needle%1:06:00::,
1025,1025,golden eagle,2638,01613294-n,eagle%1:05:00::,
1027,1027,golden eagle,2638,01614343-n,golden_eagle%1:05:00::,
1029,1029,pins,2643,04331892-n,straight_pin%1:06:00::,
1031,1031,air conditioner,2640,02686379-n,air_conditioner%1:06:00::,
1032,1032,garlic,2641,07818277-n,ail%1:13:00::,
1033,1033,garlic,2641,12434775-n,garlic%1:20:00::,
1040,1040,pliers,2644,03966976-n,pliers%1:06:00::,
1046,1046,yellow,2648,00385756-s,yellow%5:00:00:chromatic:00,
1060,1060,hoe,2651,03524574-n,hoe%1:06:00::,
1069,1069,ostrich,2650,01518878-n,ostrich%1:05:00::,
1090,1090,mouth,2663,05301908-n,mouth%1:08:00::,
1096,1096,truffles,2665,07609632-n,truffle%1:13:02::,
1102,1102,woodland,2666,09284015-n,forest%1:17:00::,
1103,1103,moustache,2661,05262185-n,moustache%1:08:00::,
1104,1104,mustache,2661,05262185-n,mustache%1:08:00::,
1112,1112,head,2673,05538625-n,head%1:08:00::,
1113,1113,button,2668,02928608-n,button%1:06:00::,
1116,1116,ballerina,2653,09834592-n,ballerina%1:18:00::,
1120,1120,toolbox,2676,04452615-n,toolbox%1:06:00::,
1121,1121,courgette,2678,07716358-n,zucchini%1:13:00::,
1136,1136,cash register,2677,02977438-n,cash_register%1:06:00::,
1140,1140,snail,2685,07782475-n,escargot%1:13:00::,
1143,1143,snail,2685,01944812-n,edible_snail%1:05:00::,
